Cost,Year,Make,Model,Mileage,Fuel Type,Image URL
11119,2020,Nissan,Rogue,13748,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Rogue.jpg
14055,2022,Nissan,Pathfinder,102753,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Pathfinder.jpg
45718,2013,Audi,Q5,141057,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q5.jpg
51285,2019,Chevrolet,Malibu,146023,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Malibu.jpg
44989,2012,Volkswagen,Jetta,145780,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Jetta.jpg
73774,2023,Hyundai,Tucson,98109,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Tucson.jpg
29220,2018,Toyota,Tacoma,127202,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Tacoma.jpg
58594,2017,Volkswagen,Atlas,5251,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Atlas.jpg
88870,2017,Volkswagen,Atlas,56779,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Atlas.jpg
87507,2015,Nissan,Pathfinder,136380,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Pathfinder.jpg
57846,2020,Hyundai,Tucson,54701,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Tucson.jpg
13842,2020,Nissan,Altima,80063,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Altima.jpg
33937,2021,Hyundai,Tucson,101568,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Tucson.jpg
13499,2015,Mercedes-Benz,GLC,86043,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_GLC.jpg
97911,2011,Ford,Focus,102850,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Focus.jpg
39378,2014,Toyota,Camry,23668,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Camry.jpg
38297,2011,BMW,X5,136678,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/BMW_X5.jpg
75555,2015,Chevrolet,Camaro,49826,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Camaro.jpg
38904,2019,Toyota,Rav4,65201,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Rav4.jpg
32413,2010,Volkswagen,Golf,89906,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Golf.jpg
7761,2022,BMW,X5,9428,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/BMW_X5.jpg
84464,2023,Volkswagen,Jetta,147384,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Jetta.jpg
30331,2016,Honda,Accord,136736,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Accord.jpg
43917,2012,Nissan,Sentra,88360,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Sentra.jpg
97290,2019,Nissan,Rogue,137995,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Rogue.jpg
98496,2024,Volkswagen,Passat,19005,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Passat.jpg
86491,2014,Nissan,Rogue,87955,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Rogue.jpg
63285,2016,Chevrolet,Camaro,104732,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Camaro.jpg
54234,2010,BMW,X3,107021,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/BMW_X3.jpg
32172,2011,Hyundai,Elantra,98277,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Elantra.jpg
40914,2010,Nissan,Pathfinder,1676,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Pathfinder.jpg
47623,2017,Mercedes-Benz,GLE,122364,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_GLE.jpg
65112,2012,Hyundai,Sonata,80091,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Sonata.jpg
42921,2016,Mercedes-Benz,S-Class,60601,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_S-Class.jpg
6588,2024,Volkswagen,Golf,106993,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Golf.jpg
30943,2017,Mercedes-Benz,C-Class,47021,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_C-Class.jpg
83923,2020,Audi,A6,32264,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A6.jpg
21869,2020,Audi,A3,93625,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A3.jpg
32011,2014,Toyota,Highlander,67652,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Highlander.jpg
36425,2010,Chevrolet,Camaro,18867,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Camaro.jpg
9649,2012,Audi,A3,49497,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A3.jpg
99169,2017,Volkswagen,Passat,35961,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Passat.jpg
26487,2023,Toyota,Rav4,8527,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Rav4.jpg
32922,2021,Hyundai,Kona,81251,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Kona.jpg
62914,2020,Toyota,Highlander,106625,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Highlander.jpg
21302,2020,Nissan,Murano,138827,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Murano.jpg
34205,2011,Volkswagen,Atlas,104787,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Atlas.jpg
52299,2010,BMW,7 Series,129043,Electric,https://storage.googleapis.com/mtc-cloud101-cars/BMW_7 Series.jpg
35392,2024,Mercedes-Benz,C-Class,140868,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_C-Class.jpg
67916,2012,Volkswagen,Atlas,127136,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Atlas.jpg
26634,2021,Ford,Focus,89113,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Focus.jpg
77468,2012,Ford,F-150,75752,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Ford_F-150.jpg
